city,country,date,lat,long,temp,humidity,windSpeed,weather,cloudiness
labuhan,ID,1570343696,-2.54,115.51,85.95,62,4.63,Rain,60
calabozo,VE,1570343696,8.92,-67.43,73.21,94,2.32,Clouds,26
fortuna,US,1570343697,40.6,-124.16,49.73,87,4.7,Clear,1
atuona,PF,1570343697,-9.8,-139.03,79.89,72,16.24,Clear,0
rikitea,PF,1570343697,-23.12,-134.97,72.83,83,23.93,Rain,100
pevek,RU,1570343697,69.7,170.27,28.48,82,13.09,Clouds,100
busselton,AU,1570343697,-33.64,115.35,67.26,30,9.46,Clouds,88
muisne,EC,1570343698,0.61,-80.02,74.61,82,13.24,Clouds,100
cape town,ZA,1570343698,-33.93,18.42,60.76,77,10.29,Clouds,75
lompoc,US,1570343698,34.64,-120.46,55.78,62,4.7,Clear,1
airai,TL,1570343698,-8.93,125.41,85.92,46,5.12,Clouds,18
cidreira,BR,1570343699,-30.17,-50.22,60.83,87,10.2,Rain,100
paamiut,GL,1570343699,61.99,-49.67,37.82,66,42.57,Clouds,61
mirnyy,RU,1570343699,56.57,36.46,35.07,84,11.23,Clouds,100
new norfolk,AU,1570343699,-42.78,147.06,58.24,76,8.05,Rain,75
saint-philippe,CA,1570343699,45.36,-73.48,40.06,86,5.82,Clouds,40
bethel,US,1570343700,60.79,-161.76,36.23,80,12.75,Clear,1
beloha,MG,1570343700,-25.17,45.06,81.72,48,16.24,Clear,0
bluff,AU,1570343700,-23.58,149.07,89.61,22,2.3,Clear,0
butaritari,KI,1570343700,3.07,172.79,85.27,60,2.8,Clouds,17
dikson,RU,1570343701,73.51,80.55,23.89,72,15.48,Clouds,14
kudahuvadhoo,MV,1570343701,2.67,72.89,82.55,70,6.24,Clouds,25
lorengau,PG,1570343701,-2.02,147.27,84.89,68,7.29,Clouds,41
saskylakh,RU,1570343701,71.97,114.09,20.92,95,4.32,Clouds,89
hermanus,ZA,1570343702,-34.42,19.24,62.35,75,1.01,Clouds,92
